,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,content_age,is_movie,watch_category
3941,tm461159,Trouble,MOVIE,"['comedy', 'family', 'music', 'animation']",2019,0,1970-01-01 00:00:00.000000087,"['comedy', 'family', 'music', 'animation']",['CA'],0.0,tt6772524,5.8,3187.0,11.564,6.7,7,1,Low Rated
3942,tm875736,U Turn,MOVIE,"['horror', 'thriller']",2020,0,1970-01-01 00:00:00.000000098,"['horror', 'thriller']",[],0.0,tt11638656,4.3,268.0,0.0,0.0,6,1,Low Rated
3943,tm816593,"Frankenstein's Monster's Monster, Frankenstein",MOVIE,['comedy'],2019,0,1970-01-01 00:00:00.000000032,['comedy'],['US'],0.0,tt10516390,5.8,2166.0,5.098,6.0,7,1,Low Rated
3944,tm454861,Patria,MOVIE,"['documentation', 'history']",2019,0,1970-01-01 00:00:00.000000089,"['documentation', 'history']",['MX'],0.0,tt9647980,7.2,102.0,3.074,6.6,7,1,Good
3945,tm850862,A Love Song for Latasha,MOVIE,['documentation'],2019,0,1970-01-01 00:00:00.000000018,['documentation'],['US'],0.0,0,0.0,0.0,6.985,7.1,7,1,Low Rated
3946,tm860965,Dave Chappelle: The Kennedy Center Mark Twain Prize,MOVIE,['comedy'],2020,0,1970-01-01 00:00:00.000000086,['comedy'],['US'],0.0,0,0.0,0.0,5.528,7.4,6,1,Low Rated
3947,ts252166,Private Lives,SHOW,"['action', 'thriller', 'drama', 'crime', 'romance']",2020,0,1970-01-01 00:00:00.000000067,"['action', 'thriller', 'drama', 'crime', 'romance']",['KR'],1.0,tt12560270,6.7,595.0,5.956,6.4,6,0,Average
3948,tm919106,Rising Phoenix,MOVIE,"['documentation', 'sport']",2020,PG-13,1970-01-01 00:00:00.000000105,"['documentation', 'sport']",['GB'],0.0,tt10851618,8.1,1659.0,12.634,8.2,6,1,Highly Rated
3949,ts233530,Win the Wilderness: Alaska,SHOW,"['documentation', 'reality']",2020,0,1970-01-01 00:00:00.000000059,"['documentation', 'reality']",[],1.0,tt11718294,6.9,724.0,2.496,8.0,6,0,Average
3950,ts87473,7SEEDS,SHOW,"['scifi', 'drama', 'animation', 'action', 'horror', 'romance']",2019,TV-MA,1970-01-01 00:00:00.000000025,"['scifi', 'drama', 'animation', 'action', 'horror', 'romance']",['JP'],2.0,tt9348718,6.3,1378.0,31.425,8.1,7,0,Average
3951,tm467848,NiNoKuni,MOVIE,"['fantasy', 'animation', 'action', 'family', 'romance']",2019,PG-13,1970-01-01 00:00:00.000000106,"['fantasy', 'animation', 'action', 'family', 'romance']",['JP'],0.0,tt9760504,6.1,3296.0,17.896,6.7,7,1,Average
3952,ts223659,Jamtara – Sabka Number Ayega,SHOW,"['drama', 'crime']",2020,0,1970-01-01 00:00:00.000000029,"['drama', 'crime']",['IN'],1.0,tt11150912,7.3,6165.0,4.266,7.6,6,0,Good
3953,tm845532,Mucho Mucho Amor: The Legend of Walter Mercado,MOVIE,['documentation'],2020,0,1970-01-01 00:00:00.000000096,['documentation'],['US'],0.0,tt11378264,7.3,3251.0,11.019,7.4,6,1,Good
3954,ts225539,Hyena,SHOW,"['drama', 'romance']",2020,0,1970-01-01 00:00:00.000000060,"['drama', 'romance']",['KR'],1.0,tt11534164,7.7,765.0,4.669,8.7,6,0,Good
3955,ts190452,Stolen Away,SHOW,"['thriller', 'action', 'crime', 'drama']",2020,TV-14,1970-01-01 00:00:00.000000048,"['thriller', 'action', 'crime', 'drama']",['ES'],1.0,tt10064124,7.1,2314.0,11.356,7.1,6,0,Good
3956,tm836674,The Main Event,MOVIE,"['comedy', 'action', 'family', 'fantasy', 'sport']",2020,0,1970-01-01 00:00:00.000000102,"['comedy', 'action', 'family', 'fantasy', 'sport']",['US'],0.0,tt10540242,4.8,2279.0,13.508,6.7,6,1,Low Rated
3957,ts222438,Cagaster of an Insect Cage,SHOW,['scifi'],2020,TV-14,1970-01-01 00:00:00.000000026,['scifi'],['JP'],1.0,0,0.0,0.0,21.075,8.2,6,0,Low Rated
3958,ts90902,Search: WWW,SHOW,"['comedy', 'drama', 'romance']",2019,0,1970-01-01 00:00:00.000000072,"['comedy', 'drama', 'romance']",['KR'],1.0,tt10253244,7.9,1308.0,6.603,8.5,7,0,Good
3959,tm912400,Jack Whitehall: I'm Only Joking,MOVIE,['comedy'],2020,0,1970-01-01 00:00:00.000000058,['comedy'],['GB'],0.0,tt12588432,6.6,1468.0,4.944,6.2,6,1,Average
3960,ts251119,Hook,SHOW,"['drama', 'romance', 'sport']",2020,TV-MA,1970-01-01 00:00:00.000000043,"['drama', 'romance', 'sport']",['TH'],1.0,tt12659696,6.5,25.0,2.708,6.3,6,0,Average
3961,ts88821,I Hear You,SHOW,"['drama', 'comedy', 'romance']",2019,TV-14,1970-01-01 00:00:00.000000045,"['drama', 'comedy', 'romance']",['CN'],1.0,tt10327440,7.3,560.0,15.664,7.9,7,0,Good
3962,ts91034,Leila,SHOW,"['war', 'scifi', 'drama']",2019,TV-MA,1970-01-01 00:00:00.000000046,"['war', 'scifi', 'drama']",['IN'],1.0,tt7259274,4.7,8796.0,1.4,7.0,7,0,Low Rated
3963,tm816038,Violet Evergarden: Eternity and the Auto Memories Doll,MOVIE,"['family', 'animation', 'drama', 'fantasy']",2019,0,1970-01-01 00:00:00.000000090,"['family', 'animation', 'drama', 'fantasy']",['JP'],0.0,tt10477558,7.4,4503.0,22.796,8.3,7,1,Good
3964,tm943718,Operation Christmas Drop,MOVIE,"['romance', 'comedy', 'family']",2020,0,1970-01-01 00:00:00.000000095,"['romance', 'comedy', 'family']",['US'],0.0,tt13236566,5.8,11329.0,14.686,6.5,6,1,Low Rated
3965,ts101060,Merry Happy Whatever,SHOW,['comedy'],2019,TV-PG,1970-01-01 00:00:00.000000026,['comedy'],['US'],1.0,tt9777322,6.4,4542.0,10.85,6.6,7,0,Average
3966,tm423624,Ek Ladki Ko Dekha Toh Aisa Laga,MOVIE,"['drama', 'romance', 'comedy']",2019,0,1970-01-01 00:00:00.000000121,"['drama', 'romance', 'comedy']",['IN'],0.0,tt8108164,5.6,4288.0,4.303,5.8,7,1,Low Rated
3967,ts88133,Well-Intended Love,SHOW,"['drama', 'romance']",2019,TV-14,1970-01-01 00:00:00.000000043,"['drama', 'romance']",['CN'],2.0,tt9886950,7.2,1433.0,29.43,8.1,7,0,Good
3968,ts317497,The Neighbor,SHOW,"['comedy', 'action']",2019,TV-MA,1970-01-01 00:00:00.000000030,"['comedy', 'action']",['ES'],2.0,tt9731222,6.5,2125.0,13.672,6.6,7,0,Average
3969,tm518467,Dragon Rider,MOVIE,"['family', 'fantasy', 'animation', 'comedy', 'european']",2020,0,1970-01-01 00:00:00.000000100,"['family', 'fantasy', 'animation', 'comedy', 'european']","['ES', 'BE', 'DE']",0.0,tt7080422,5.6,1522.0,15.265,7.3,6,1,Low Rated
3970,ts216513,The Healing Powers of Dude,SHOW,"['fantasy', 'action', 'comedy', 'drama', 'family']",2020,TV-G,1970-01-01 00:00:00.000000030,"['fantasy', 'action', 'comedy', 'drama', 'family']",[],1.0,tt10540562,6.5,873.0,11.905,7.2,6,0,Average
3971,tm826368,American Son,MOVIE,['drama'],2019,0,1970-01-01 00:00:00.000000090,['drama'],['US'],0.0,tt9664078,5.8,6904.0,9.419,6.1,7,1,Low Rated
3972,tm454096,Only Mine,MOVIE,"['drama', 'thriller']",2019,0,1970-01-01 00:00:00.000000087,"['drama', 'thriller']",['US'],0.0,tt9271164,4.6,3013.0,13.136,5.3,7,1,Low Rated
3973,tm987599,Best of Stand-up 2020,MOVIE,['comedy'],2020,0,1970-01-01 00:00:00.000000076,['comedy'],['US'],0.0,tt13649688,5.4,601.0,3.282,5.6,6,1,Low Rated
3974,ts87361,Back with the Ex,SHOW,"['reality', 'comedy']",2019,0,1970-01-01 00:00:00.000000044,"['reality', 'comedy']",['AU'],1.0,tt11272424,6.2,615.0,2.522,8.3,7,0,Average
3975,ts104507,Triad Princess,SHOW,['drama'],2019,0,1970-01-01 00:00:00.000000045,['drama'],['TW'],1.0,tt9314996,6.8,658.0,2.812,7.0,7,0,Average
3976,tm831873,The Crimes That Bind,MOVIE,"['drama', 'thriller', 'crime']",2020,0,1970-01-01 00:00:00.000000099,"['drama', 'thriller', 'crime']",['AR'],0.0,tt10915060,6.7,3912.0,7.647,6.4,6,1,Average
3977,tm856424,Bheeshma,MOVIE,"['romance', 'comedy']",2020,0,1970-01-01 00:00:00.000000151,"['romance', 'comedy']",['IN'],0.0,0,0.0,0.0,5.22,6.6,6,1,Low Rated
3978,tm884581,Rich in Love,MOVIE,"['romance', 'comedy']",2020,0,1970-01-01 00:00:00.000000104,"['romance', 'comedy']",['BR'],0.0,tt10329566,6.0,2616.0,12.066,7.8,6,1,Average
3979,ts231260,Last One Standing,SHOW,"['scifi', 'thriller', 'drama']",2019,0,1970-01-01 00:00:00.000000036,"['scifi', 'thriller', 'drama']",[],1.0,tt11465292,7.0,18.0,0.0,0.0,7,0,Good
3980,ts218176,The Big Show Show,SHOW,['comedy'],2020,TV-PG,1970-01-01 00:00:00.000000026,['comedy'],['US'],1.0,tt10726356,6.3,2375.0,15.341,7.5,6,0,Average
3981,ts217719,Basketball or Nothing,SHOW,"['documentation', 'sport']",2019,TV-PG,1970-01-01 00:00:00.000000000,"['documentation', 'sport']",['US'],1.0,tt10698408,7.4,614.0,3.31,8.3,7,0,Good
3982,tm885669,The Christmas Chronicles: Part Two,MOVIE,"['comedy', 'family', 'fantasy']",2020,PG,1970-01-01 00:00:00.000000112,"['comedy', 'family', 'fantasy']",['US'],0.0,tt11057644,6.0,29280.0,45.05,6.6,6,1,Average
3983,tm843276,Memories of a Teenager,MOVIE,['drama'],2019,0,1970-01-01 00:00:00.000000093,['drama'],['AR'],0.0,tt11254858,6.5,778.0,12.506,7.8,7,1,Average
3984,tm941531,The Beast,MOVIE,"['crime', 'action', 'drama', 'thriller']",2020,0,1970-01-01 00:00:00.000000090,"['crime', 'action', 'drama', 'thriller']",['IT'],0.0,tt11499506,5.2,4281.0,10.059,6.3,6,1,Low Rated
3985,ts221851,The Lies Within,SHOW,"['crime', 'thriller', 'drama']",2019,0,1970-01-01 00:00:00.000000060,"['crime', 'thriller', 'drama']",['KR'],1.0,tt10919902,7.0,365.0,3.895,7.9,7,0,Good
3986,tm873159,The Yin-Yang Master: Dream of Eternity,MOVIE,"['scifi', 'action', 'drama', 'fantasy']",2020,PG-13,1970-01-01 00:00:00.000000132,"['scifi', 'action', 'drama', 'fantasy']",['CN'],0.0,tt11454718,6.4,4647.0,21.049,7.7,6,1,Average
3987,tm430106,"El Pepe, A Supreme Life",MOVIE,['documentation'],2019,0,1970-01-01 00:00:00.000000074,['documentation'],"['RS', 'UY', 'AR']",0.0,tt8900434,7.1,1867.0,7.162,7.5,7,1,Good
3988,ts254737,Mighty Express,SHOW,[],2020,TV-Y,1970-01-01 00:00:00.000000014,[],['CA'],6.0,0,0.0,0.0,9.174,10.0,6,0,Low Rated
3989,ts224794,Glitch Techs,SHOW,['scifi'],2020,TV-G,1970-01-01 00:00:00.000000025,['scifi'],['US'],2.0,0,0.0,0.0,8.629,8.3,6,0,Low Rated
3990,ts88552,Go! Live Your Way,SHOW,"['drama', 'comedy', 'romance']",2019,TV-Y7,1970-01-01 00:00:00.000000040,"['drama', 'comedy', 'romance']",['AR'],2.0,tt9654086,6.7,606.0,23.687,9.3,7,0,Average
3991,ts91087,One Spring Night,SHOW,"['drama', 'romance']",2019,0,1970-01-01 00:00:00.000000047,"['drama', 'romance']",['KR'],1.0,tt10192576,7.9,2503.0,11.031,8.4,7,0,Good
3992,tm836638,The Man Without Gravity,MOVIE,"['drama', 'comedy', 'fantasy']",2019,0,1970-01-01 00:00:00.000000107,"['drama', 'comedy', 'fantasy']","['BE', 'FR', 'IT']",0.0,tt9646240,5.8,2485.0,6.703,7.3,7,1,Low Rated
3993,ts255418,Bad Boy Billionaires: India,SHOW,"['crime', 'documentation']",2020,TV-14,1970-01-01 00:00:00.000000000,"['crime', 'documentation']",['XX'],1.0,tt12923630,7.9,3010.0,2.596,8.0,6,0,Good
3994,ts88352,Designated Survivor: 60 Days,SHOW,"['war', 'thriller', 'drama']",2019,0,1970-01-01 00:00:00.000000074,"['war', 'thriller', 'drama']",['KR'],1.0,tt10340990,8.1,1201.0,5.067,8.4,7,0,Highly Rated
3995,tm452440,Cinderela Pop,MOVIE,"['romance', 'music', 'family']",2019,0,1970-01-01 00:00:00.000000094,"['romance', 'music', 'family']",['BR'],0.0,tt8716800,4.5,1046.0,12.797,6.5,7,1,Low Rated
3996,ts83810,Cannon Busters,SHOW,"['scifi', 'action', 'animation', 'fantasy']",2019,TV-MA,1970-01-01 00:00:00.000000024,"['scifi', 'action', 'animation', 'fantasy']","['FR', 'US', 'JP']",1.0,tt5066664,6.7,1172.0,4.6,6.7,7,0,Average
3997,ts252318,Million Dollar Beach House,SHOW,['reality'],2020,TV-MA,1970-01-01 00:00:00.000000028,['reality'],['US'],1.0,tt12882136,4.2,804.0,1.957,5.7,6,0,Low Rated
